Time,Username,Tweets
2022-06-09 12:49:37+00:00,Ryn,"b'Nungguin chat dari ayang \xe2\x9d\x8e\nNungguin email dari PMM 2 \xe2\x9c\x85\n\nayo dong admin PMM 2 kirim kan saya email, saya juga kan ma\xe2\x80\xa6 https://t.co/SpCgfiha7n'"
2022-06-09 12:44:05+00:00,L,"b'@rawra01 Logika nya saja, jika data kami tidak lengkap kami tidak bisa menuju tahap selanjutnya, jadi apa ini kesal\xe2\x80\xa6 https://t.co/2zIeLgWd3P'"
2022-06-09 12:43:10+00:00,Jasa payment Internasional,"b'Bismillah, masih available DET READY PREMIUM langsung PC aja buat naikin score kalian, ada harga khusus lohhh murah\xe2\x80\xa6 https://t.co/Ws2ZVCWZpf'"
2022-06-09 12:27:06+00:00,onlyhuman ??Random??,b'Saya juga salah satu yang gak dapat email dan gak bisa mengikuti survei kebinekaan. Minimal kalo gak lulus pihak pm\xe2\x80\xa6 https://t.co/r6BwURsy0f'
2022-06-09 12:19:58+00:00,munirahmisykaatul_,"b'@rawra01 Nangis banget,belum apa apa udah gugur\n#pmm2\n#kampusmerdeka'"
2022-06-09 12:17:12+00:00,Haris,b'#PMM2 #DAFTARDIAWALTERSINGKIRDULUAN TOLONG KEBIJAKANNYAAAA @nadiemmakarim @KampusMerdeka @pertukaranmahasiswamerdek\xe2\x80\xa6 https://t.co/HmWr6CgwlC'
2022-06-09 12:07:00+00:00,ara,"b'(26) kebinekaan, semoga langkah kalian dimudahkan sampai tahap terakhir.\n\nDari kami, rekan seperjuangan yang gugur\xe2\x80\xa6 https://t.co/mGpxrdwMxF'"
2022-06-09 09:32:28+00:00,Dodi_nr,"b'Halo guys...\nPerkenalkan namaku Dodi Nurramadhan, alumni dari program @kampusmerdeka.ri yang saat ini tergabung AKM\xe2\x80\xa6 https://t.co/AkteGPLMRK'"
2022-06-09 09:31:40+00:00,Universitas Negeri Padang,b'Tim Inspektorat Kemendikbud Ristek Monev Implementasi ZI Menuju WBK/WBBM https://t.co/fZ2s6MPo9t\xe2\x80\xa6 https://t.co/0fTkl47he4'
2022-06-09 09:17:45+00:00,yehezkiel_lumbardo,b'terkait program @kampusmerdeka.ri mendapatkan relasi dan teman dari seluruh Indonesia serta sharing bersama untuk m\xe2\x80\xa6 https://t.co/6cQ7gEl7HK'
2022-06-09 09:17:17+00:00,yehezkiel_lumbardo,"b'Halo guys...\nPerkenalkan namaku Yehezkiel Lumbardo Padang, alumni dari program @kampusmerdeka.ri yang saat ini terg\xe2\x80\xa6 https://t.co/XUoC7M67xP'"
2022-06-09 09:04:16+00:00,POLITEKNIK NEGERI MALANG,b'Pendaftaran Kampus Mengajar Angkatan 4 Telah dibuka!\n\nPendaftaran diperpanjang sampai dengan 12 Juni 2022\n\ninfo :\xe2\x80\xa6 https://t.co/VCmhk1WsoL'
2022-06-09 07:14:14+00:00,Universitas Negeri Padang,b'Open Recruitment Ganto Vol 2. Informasi selengkapnya https://t.co/1Ob31Y6WuX\n#universitasnegeripadang\n#humasunp\xe2\x80\xa6 https://t.co/33Nvbol3Xc'
2022-06-09 06:53:41+00:00,Universitas Komputer Indonesia,b':: Informasi Pendaftaran Panitia Seleksi (PANSEL) SATGAS Anti Kekerasan  Seksual UNIKOM ::\n\nPendaftaran dibuka mula\xe2\x80\xa6 https://t.co/DA3iNTnl84'
2022-06-09 05:29:06+00:00,Orbit Future Academy,b'Semoga seluruh Mahasiswa/i Kampus Merdeka #OrbitJagoAI sukses dan bisa menjadi lulusan terbaik bagi Nusa dan Bangsa\xe2\x80\xa6 https://t.co/DOSeUNzM2g'
2022-06-09 04:01:44+00:00,Orbit Future Academy,"b""(3) Have fun bgt Satu Hari Di Orbit!!! Buat yang belom bisa mampir its's okay, semoga di event selanjutnya kita bis\xe2\x80\xa6 https://t.co/3f6GrTtG8q"""
2022-06-09 03:46:57+00:00,Orbit Future Academy,"b'(2) Wahh ada photobooth juga nih, jadi bisa foto-foto kece buat upload di sosmed! \n\n#orbitfutureacademy\xe2\x80\xa6 https://t.co/JyHvbJ1B7E'"
2022-06-09 03:13:25+00:00,adheliameei,b'@matcharamels @lesyeuxdebyla Mohon perhatiannya @KampusMerdekaRI @KampusMerdeka @Itjen_Kemdikbud @puspendikRI  saat\xe2\x80\xa6 https://t.co/4Y42MTxsJx'
2022-06-09 03:08:55+00:00,Robertt,b'@matcharamels @lesyeuxdebyla wkwkwkwkwkk \n#cairkantermin2 #cairkandanaterminke2 #kampusmengajar #kampusmerdeka #kampusmengajar3'
2022-06-09 03:00:09+00:00,Orbit Future Academy,b'Morning Orbitians! Hari ini kantor Orbit Future Academy kedatangan Mahasiswa-mahasiswi Kampus Merdeka loh. Kira-kir\xe2\x80\xa6 https://t.co/n30dhN7rrW'
2022-06-09 02:23:48+00:00,TANRI ABENG UNIV,"b'Doaku hari ini ""Jauhkanlah aku dari rasa malas""\n\n#tauniversity #tanriabenguniversity #kampusmerdeka'"
2022-06-09 01:28:36+00:00,rap ??,b'@lesyeuxdebyla Setelah denger tmn-tmn kamjar angkatan 1-2 kemarin yg keluh kesah karna uang saku telat ini itu aing\xe2\x80\xa6 https://t.co/NleGrMzAF8'
